Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Confidence in estimate,M49 code,Region,Source
Slovakia,109,70,"381,273",13,"69,911",26,"139,538",Low Confidence,703,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2043
Slovenia,61,34,"71,107",7,"13,910",20,"41,741",Medium Confidence,705,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2174
Solomon Islands,135,91,"60,963",16,"10,476",28,"18,519",Very Low Confidence,90,Melanesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2098
Somalia,147,103,"1,585,898",16,"241,530",28,"426,966",Very Low Confidence,706,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2219
South Africa,84,40,"2,329,228",16,"915,865",28,"1,619,024",Very Low Confidence,710,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2220
South Sudan,147,103,"1,136,015",16,"173,014",28,"305,846",Very Low Confidence,728,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2221
Spain,116,77,"3,613,954",13,"598,760",26,"1,195,080",Low Confidence,724,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2175
Sri Lanka,120,76,"1,617,738",16,"333,508",28,"589,559",Very Low Confidence,144,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2159
State of Palestine,145,101,"501,602",16,"77,910",28,"137,726",Very Low Confidence,275,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2240
Sudan,141,97,"4,162,396",16,"669,608",28,"1,183,703",Very Low Confidence,729,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2111
Suriname,116,72,"42,112",16,"9,093",28,"16,075",Very Low Confidence,740,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2089
Sweden,112,81,"812,948",10,"100,364",21,"205,746",High Confidence,752,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2129
Switzerland,125,72,"615,790",13,"110,067",40,"343,656",Low Confidence,756,Western Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2253
Syrian Arab Republic,148,104,"1,771,842",16,"266,980",28,"471,955",Very Low Confidence,760,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2241
Tajikistan,141,97,"906,209",16,"145,783",28,"257,708",Very Low Confidence,762,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2025
Thailand,123,79,"5,478,532",16,"1,088,960",28,"1,925,014",Very Low Confidence,764,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2148
Timor-Leste,130,86,"111,643",16,"20,224",28,"35,752",Very Low Confidence,626,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2149
Togo,147,103,"830,017",16,"126,411",28,"223,463",Very Low Confidence,768,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2222
Tonga,120,76,"7,912",16,"1,634",28,"2,889",Very Low Confidence,776,Polynesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2137
Trinidad and Tobago,113,74,"103,119",13,"17,872",26,"35,671",Low Confidence,780,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2090
Tunisia,135,91,"1,064,407",16,"182,908",28,"323,336",Very Low Confidence,788,Northern Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2112
Turkey,137,93,"7,762,575",16,"1,304,858",28,"2,306,668",Very Low Confidence,792,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2242
Turkmenistan,120,76,"449,895",16,"92,936",28,"164,288",Very Low Confidence,795,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2026
Turks and Caicos Islands,113,74,"2,824",13,489,26,977,Low Confidence,796,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2091
Tuvalu,120,76,878,16,181,28,321,Very Low Confidence,798,Polynesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2138
Uganda,147,103,"4,546,237",16,"692,387",28,"1,223,969",Very Low Confidence,800,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2223
Ukraine,120,76,"3,344,904",16,"688,070",28,"1,216,338",Very Low Confidence,804,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2044
United Arab Emirates,134,95,"923,625",13,"125,173",26,"249,836",Low Confidence,784,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2243
United Kingdom,98,77,"5,199,825",4,"283,627",17,"1,114,248",High Confidence,826,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2130
United Rep. of Tanzania,163,119,"6,907,649",16,"907,219",28,"1,603,740",Very Low Confidence,834,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2224
United States of America,139,59,"19,359,951",16,"5,151,313",64,"20,934,827",High Confidence,840,Northern America,https://www.unep.org/resources/report/unep-food-waste-index-report-2118
United States Virgin Islands,113,74,"7,732",13,"1,340",26,"2,675",Low Confidence,850,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2092
Uruguay,113,74,"255,892",13,"44,349",26,"88,517",Low Confidence,858,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2093
Uzbekistan,135,91,"3,001,868",16,"515,841",28,"911,881",Very Low Confidence,860,Central Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2027
Vanuatu,135,91,"27,296",16,"4,691",28,"8,292",Very Low Confidence,548,Melanesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2099
Venezuela (Boliv. Rep. of),116,72,"2,065,461",16,"445,994",28,"788,407",Very Low Confidence,862,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2094
Viet Nam,120,76,"7,346,717",16,"1,508,689",28,"2,666,991",Very Low Confidence,704,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2150
Yemen,148,104,"3,026,946",16,"456,099",28,"806,270",Very Low Confidence,887,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2244
Zambia,122,78,"1,391,729",16,"279,350",28,"493,822",Very Low Confidence,894,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2225
Zimbabwe,144,100,"1,458,564",16,"229,059",28,"404,920",Very Low Confidence,716,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2226
