Year,Length_Category,Sector,Gear,Region,SAUP,NV,GT,P,NVActive,GTActive,PActive,NomActive,NVerr,Perr,GTerr,RActivity,MethodNV,MethodLOA,MethodGT,MethodP,Country,EffActive
1977,6-12m,APW,Dredges,NorthAmerica,124,1,2.74671,19.25555,0.6407305,1.759900871655,12.337618179275,2529.677057277,0.06618941,0.04673977,0.1248271,0.6407305,GAM,Data,LOA,AIC,CAN,11223.6676232075
1978,6-12m,APW,Dredges,NorthAmerica,124,2,10.232688,53.99125,1.281461,6.556395298584,34.593840608125,7079.38003606,0.083559045,0.0333387399533999,0.0378537046725568,0.6407305,GAM,Data,LOA,AIC,CAN,33014.8233575381
1979,6-12m,APW,Dredges,NorthAmerica,124,2,10.233149,53.00005,1.281461,6.5566906753445,33.958748536525,6949.4687235325,0.11504695,0.0339622246941654,0.0378510637101117,0.6407305,GAM,Data,LOA,AIC,CAN,34065.0783338587
1980,6-12m,APW,Dredges,NorthAmerica,124,2,10.232627,51.36305,1.281461,6.5563562140235,32.909872708025,6734.9598408985,0.1229384,0.0350446430651081,0.0378590962982828,0.6407305,GAM,Data,LOA,AIC,CAN,34700.587988086
1981,6-12m,APW,Dredges,NorthAmerica,124,2,10.23307,49.58983,1.281461,6.556640057635,31.773716570815,6502.603410187,0.12107085,0.0362977578281515,0.0378525681228454,0.6407305,GAM,Data,LOA,AIC,CAN,35215.440634682
1982,6-12m,APW,Dredges,NorthAmerica,124,3,26.0242,195.16388,2.2067913,21.168690961846,166.50029354372,33911.749526918,0.09660552,0.0099151963214675,0.015876305005254,0.852811510538657,GAM,Data,LOA,AIC,CAN,193036.791903009
1983,6-12m,APW,Dredges,NorthAmerica,124,3,26.040201,194.06831,2.2067913,21.1835765753205,165.798328429835,33768.147725797,0.09489145,0.0099711716012858,0.0158700089214296,0.854013619489963,GAM,Data,LOA,AIC,CAN,202041.772858902
1984,6-12m,APW,Dredges,NorthAmerica,124,3,26.042219,192.30088,2.2067913,21.1854444610655,164.66588212222,33536.5460756145,0.09569401,0.0100628137182468,0.0158696697397444,0.855981364015194,GAM,Data,LOA,AIC,CAN,210909.576838346
1985,6-12m,APW,Dredges,NorthAmerica,124,2,10.232505,45.05095,1.281461,6.5562780449025,28.865517718975,5907.6921889725,0.1220858,0.0399547608053792,0.037860200903782,0.6407305,GAM,Data,LOA,AIC,CAN,39051.6926651756
1986,6-12m,APW,Dredges,NorthAmerica,124,3,26.053947,189.47305,2.2067913,21.1962773820375,162.854005192405,33165.961009755,0.0977327833333333,0.0102129995205911,0.0158632548099061,0.859206607016814,GAM,Data,LOA,AIC,CAN,230440.402812822
1987,6-12m,APW,Dredges,NorthAmerica,124,3,26.051288,187.96123,2.2067913,21.193705650248,161.885336007895,32967.852264999,0.0952292033333333,0.0102951455012565,0.0158633064991609,0.860970734358966,GAM,Data,LOA,AIC,CAN,240769.089999644
1988,6-12m,APW,Dredges,NorthAmerica,124,3,26.055194,187.33985,2.2067913,21.197241440855,161.487198889805,32886.384663385,0.09413904,0.0103292924251313,0.015860245933113,0.861704484866659,GAM,Data,LOA,AIC,CAN,252447.017619527
1989,6-12m,APW,Dredges,NorthAmerica,124,3,26.054284,186.17437,2.2067913,21.19644492625,160.740440306665,32733.6556562915,0.09418882,0.0103939538866098,0.0158603100584514,0.863093319454319,GAM,Data,LOA,AIC,CAN,264114.751060415
1990,6-12m,APW,Dredges,NorthAmerica,124,3,26.052419,185.90344,2.2067913,21.1948002961835,160.5668471923,32698.1028023075,0.0934407733333333,0.0104091058747952,0.0158635489993359,0.863419126411221,GAM,Data,LOA,AIC,CAN,277309.494472351
1991,6-12m,APW,Dredges,NorthAmerica,124,3,26.06767,186.77094,2.2067913,21.208741464109,161.12268090105,32811.6722834325,0.0881852266666667,0.0103607576191159,0.015854479411345,0.862381704421277,GAM,Data,LOA,AIC,CAN,292492.399675275
1992,6-12m,APW,Dredges,NorthAmerica,124,3,26.060206,186.7926,2.2067913,21.201853013137,161.13655912368,32814.4581796465,0.0849108033333333,0.0103595535990164,0.0158564981060082,0.862356377571597,GAM,Data,LOA,AIC,CAN,307464.86458515
1993,6-12m,APW,Dredges,NorthAmerica,124,2,10.233118,41.22908,1.281461,6.556670812699,26.41672904294,5406.5448283975,0.1016698,0.0436585008646276,0.0378496335623916,0.6407305,GAM,Data,LOA,AIC,CAN,53246.8720793407
1994,6-12m,APW,Dredges,NorthAmerica,124,2,10.233309,41.33005,1.281461,6.5567931922245,26.481423601525,5419.7259362435,0.096506985,0.0435518388871656,0.0378512740274111,0.6407305,GAM,Data,LOA,AIC,CAN,56104.2362063901
1995,6-12m,APW,Dredges,NorthAmerica,124,2,10.233555,40.21297,1.281461,6.5569508119275,25.765676374585,5273.3664310505,0.091712975,0.0447616806940472,0.0378478041876462,0.6407305,GAM,Data,LOA,AIC,CAN,57378.6485362412
1996,6-12m,APW,Dredges,NorthAmerica,124,2,10.233502,40.55099,1.281461,6.556916853211,25.982256098195,5317.6024647705,0.087574575,0.0443885557445577,0.0378457139550514,0.6407305,GAM,Data,LOA,AIC,CAN,60816.6183302521
1997,6-12m,APW,Dredges,NorthAmerica,124,1,7.486042,26.99436,0.6407305,4.796535433681,17.29610977998,3535.7962987815,0.08417302,0.0333403,0.005948044,0.6407305,GAM,Data,Data,AIC,CAN,42504.7703142829
1998,6-12m,APW,Dredges,NorthAmerica,124,1,7.485905,26.80768,0.6407305,4.7964476536025,17.17649821024,3511.3447414405,0.0805571,0.03357247,0.005948262,0.6407305,GAM,Data,Data,AIC,CAN,44367.8049727064
1950,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.746956,11.01847,0.6407305,1.760058491358,7.059869792335,1447.539627061,0.01414607,0.08168103,0.1248048,0.6407305,GAM,Data,LOA,AIC,CAN,1467.74672266464
1951,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.747057,10.59734,0.6407305,1.7601232051385,6.79003895687,1392.213829847,0.01713504,0.08492699,0.1247956,0.6407305,GAM,Data,LOA,AIC,CAN,1432.39078322529
1952,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.747165,10.19396,0.6407305,1.7601924040325,6.53158108778,1339.2209323835,0.0204256,0.08828754,0.1247858,0.6407305,GAM,Data,LOA,AIC,CAN,1392.95753632362
1953,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.746958,9.812693,0.6407305,1.760059772819,6.2872916922365,1289.131825546,0.02351892,0.09171794,0.1248046,0.6407305,GAM,Data,LOA,AIC,CAN,1362.32941152278
1954,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.747055,9.458561,0.6407305,1.7601219236775,6.0603885188105,1242.6077432105,0.02679628,0.0951519,0.1247958,0.6407305,GAM,Data,LOA,AIC,CAN,1341.79774423318
1955,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.747093,9.138021,0.6407305,1.7601462714365,5.8550087643405,1200.4976532895,0.03015978,0.09848959,0.1247923,0.6407305,GAM,Data,LOA,AIC,CAN,1338.29246568956
1956,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.746847,8.855748,0.6407305,1.7599886517335,5.674147843914,1163.414094141,0.03339741,0.1016289,0.1248147,0.6407305,GAM,Data,LOA,AIC,CAN,1342.30856484847
1957,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.747175,8.612841,0.6407305,1.7601988113375,5.5185099203505,1131.5025115885,0.0365852,0.1044951,0.1247848,0.6407305,GAM,Data,LOA,AIC,CAN,1362.12845795718
1958,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.74721,8.40663,0.6407305,1.760221236905,5.386384243215,1104.411785318,0.03966658,0.1070584,0.1247817,0.6407305,GAM,Data,LOA,AIC,CAN,1396.73615479166
1959,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.747088,8.23289,0.6407305,1.760143067784,5.275063726145,1081.5870427165,0.04263344,0.1093176,0.1247928,0.6407305,GAM,Data,LOA,AIC,CAN,1449.28991583443
1960,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.746929,8.08585,0.6407305,1.7600411916345,5.180850713425,1062.269658872,0.04549156,0.1113055,0.1248072,0.6407305,GAM,Data,LOA,AIC,CAN,1613.23195394741
1961,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.747119,7.961203,0.6407305,1.7601629304295,5.1009855787915,1045.8945094835,0.048227,0.1130482,0.1247899,0.6407305,GAM,Data,LOA,AIC,CAN,1818.08414097632
1962,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.746965,7.857115,0.6407305,1.7600642579325,5.0342932225075,1032.2200391525,0.05087025,0.1145459,0.1248039,0.6407305,GAM,Data,LOA,AIC,CAN,1927.74583543468
1963,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.747007,7.773633,0.6407305,1.7600911686135,4.9808037589065,1021.252655184,0.0534278,0.115776,0.1248001,0.6407305,GAM,Data,LOA,AIC,CAN,2005.6651510653
1964,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.747138,7.711529,0.6407305,1.760175104309,4.9410118319345,1013.093592997,0.05867831,0.1167084,0.1247882,0.6407305,GAM,Data,LOA,AIC,CAN,2066.79985729104
1965,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.747037,7.671351,0.6407305,1.7601103905285,4.9152685619055,1007.815255138,0.05390219,0.1173196,0.1247974,0.6407305,GAM,Data,LOA,AIC,CAN,2100.98715032586
1966,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.746871,7.652771,0.6407305,1.7600040292655,4.9033637892155,1005.3747126635,0.06528812,0.1176045,0.1248125,0.6407305,GAM,Data,LOA,AIC,CAN,2230.86779148841
1967,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.746924,7.655027,0.6407305,1.760037987982,4.9048092772235,1005.6707301545,0.06885073,0.1175698,0.1248077,0.6407305,GAM,Data,LOA,AIC,CAN,2381.61910903049
1968,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.747252,7.678131,0.6407305,1.760248147586,4.9196127146955,1008.705870533,0.07242261,0.117216,0.1247778,0.6407305,GAM,Data,LOA,AIC,CAN,2560.68039895541
1969,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.74725,7.721933,0.6407305,1.760246866125,4.9476779920565,1014.4602711535,0.07594043,0.1165511,0.1247781,0.6407305,GAM,Data,LOA,AIC,CAN,2776.01581944465
1970,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.747039,7.785358,0.6407305,1.7601116719895,4.988316324019,1022.792971306,0.07458543,0.1156016,0.1247972,0.6407305,GAM,Data,LOA,AIC,CAN,3057.73657201216
1971,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.746976,7.865789,0.6407305,1.760071305968,5.0398509188645,1033.3592579815,0.07762764,0.1144195,0.1248029,0.6407305,GAM,Data,LOA,AIC,CAN,3399.82711522588
1978,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.747101,8.508288,0.6407305,1.7601513972805,5.451519624384,1117.76717186,0.08356055,0.1057792,0.1247916,0.6407305,GAM,Data,LOA,AIC,CAN,5212.72845162174
1979,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.747158,8.559771,0.6407305,1.760187918919,5.4845063527155,1124.530723018,0.1150517,0.105143,0.1247864,0.6407305,GAM,Data,LOA,AIC,CAN,5512.25261849468
1980,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.746658,8.593601,0.6407305,1.759867553669,5.5061822655305,1128.974829766,0.1229352,0.1047291,0.1248318,0.6407305,GAM,Data,LOA,AIC,CAN,5816.82613439356
1981,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.747056,8.612857,0.6407305,1.760122564408,5.5185201720385,1131.50443378,0.1210778,0.1044949,0.1247956,0.6407305,GAM,Data,LOA,AIC,CAN,6127.76525064339
1982,Less than 6m,APW,Dredges,NorthAmerica,124,1,2.746879,8.625591,0.6407305,1.7600091551095,5.5266792342255,1133.1773811155,0.119686,0.1043407,0.1248118,0.6407305,GAM,Data,LOA,AIC,CAN,6450.41701944506
1950,12-24m,I,Dredges,NorthAmerica,124,75,2726.8657,16840.4361,70.6661775,2569.29567433149,15867.3232882668,3143094.35090545,0.145048934666667,0.0016845282045157,0.0002494176512275,0.9422157,GAM,Data,Data,AIC,CAN,3160067.06040034
1951,12-24m,I,Dredges,NorthAmerica,124,77,2807.10862,17361.0468,72.5506089,2644.90181336933,16357.8508633948,3239926.08452622,0.13249661038961,0.0016757510301898,0.0002497470657651,0.9422157,GAM,Data,Data,AIC,CAN,3264559.04145992
1952,12-24m,I,Dredges,NorthAmerica,124,79,2856.41013,17733.3261,74.4350403,2691.35447012504,16708.6182646398,3309762.88607845,0.123995161898734,0.0016855254453396,0.0002546459556078,0.9422157,GAM,Data,Data,AIC,CAN,3344166.15562472
1953,12-24m,I,Dredges,NorthAmerica,124,76,2735.7127,17063.6561,71.6083932,2577.63145662939,16077.6446768208,3184761.01359085,0.118066720263158,0.0016847872960986,0.000258111876549,0.9422157,GAM,Data,Data,AIC,CAN,3227435.17047698
1954,12-24m,I,Dredges,NorthAmerica,124,78,2786.24072,17510.1061,73.4928246,2625.2397503633,16498.2968760858,3268095.28117735,0.111758362435897,0.0016852856726308,0.0002634256103998,0.9422157,GAM,Data,Data,AIC,CAN,3322407.26379034
1955,12-24m,I,Dredges,NorthAmerica,124,82,2899.86445,18402.9961,77.2616874,2732.29781266187,17339.5918524588,3434763.81635035,0.104368184512195,0.0016862098732844,0.0002705223303519,0.9422157,GAM,Data,Data,AIC,CAN,3503641.59698475
1956,12-24m,I,Dredges,NorthAmerica,124,87,3005.031,19420.32,81.9727659,2831.3873871867,18298.130403024,3625034.5156107,0.09861439,0.001704334,0.0002831875,0.9422157,GAM,Data,Data,AIC,CAN,3710957.0791608
1957,12-24m,I,Dredges,NorthAmerica,124,93,3174.533,20759.65,87.6260601,2991.0948327681,19560.068156505,3875037.3183702,0.09313635,0.001704334,0.0002919012,0.9422157,GAM,Data,Data,AIC,CAN,3981860.26995269
1958,12-24m,I,Dredges,NorthAmerica,124,99,3335.04,22098.98,93.2793543,3142.327048128,20822.005909986,4125040.1211297,0.08788881,0.001704334,0.0003019102,0.9422157,GAM,Data,Data,AIC,CAN,4255580.34552888
1959,12-24m,I,Dredges,NorthAmerica,124,106,3517.447,23661.54,99.8748642,3314.1937873179,22294.274474178,4416709.5865746,0.08466917,0.001704334,0.0003132963,0.9422157,GAM,Data,Data,AIC,CAN,4575438.29945184
1960,12-24m,I,Dredges,NorthAmerica,124,115,3755.634,25670.54,108.3548055,3538.6173182538,24187.185815478,4791712.3773903,0.08212122,0.001704334,0.0003257563,0.9422157,GAM,Data,Data,AIC,CAN,4985503.17535839
1961,12-24m,I,Dredges,NorthAmerica,124,123,3950.684,27456.31,115.8925311,3722.3964905388,25869.766346067,5125049.4477363,0.08044436,0.001704334,0.000339159,0.9422157,GAM,Data,Data,AIC,CAN,5356487.20828831
1962,12-24m,I,Dredges,NorthAmerica,124,131,4138.946,29242.09,123.4302567,3899.7799026522,27552.356298813,5458385.5758666,0.0794954,0.001704334,0.000352855,0.9422157,GAM,Data,Data,AIC,CAN,5731751.43386531
1963,12-24m,I,Dredges,NorthAmerica,124,141,4380.267,31474.31,130.4715723,4053.1937771901,29124.132714593,5769770.3153989,0.0799096,0.001704334,0.0003671956,0.9253303,GAM,Data,Data,AIC,CAN,6088326.97331544
1964,12-24m,I,Dredges,NorthAmerica,124,154,4777.576,34376.2,142.5008662,4420.8358333528,31809.33945886,6301734.3768962,0.0,0.001704334,0.0003678748,0.9253303,Data,Data,Data,AIC,CAN,6683264.29520016
1965,12-24m,I,Dredges,NorthAmerica,124,171,5241.121,38170.97,158.2314813,4849.7680672663,35320.755121391,6997381.0404908,0.0,0.001704334,0.000378665,0.9253303,Data,Data,Data,AIC,CAN,7459734.60435426
1966,12-24m,I,Dredges,NorthAmerica,124,155,4461.96,34599.42,143.4261965,4128.786785388,32015.891688426,6342655.2587531,0.0,0.001704334,0.0004366238,0.9253303,Data,Data,Data,AIC,CAN,6798071.06977056
1967,12-24m,I,Dredges,NorthAmerica,124,173,4963.624,38617.41,160.0821419,4592.9916850072,35733.859580523,7079220.953544,0.0,0.001704334,0.0004377326,0.9253303,Data,Data,Data,AIC,CAN,7629415.28914475
1968,12-24m,I,Dredges,NorthAmerica,124,192,5507.002,42858.63,177.6634176,5095.7958127606,39658.388955489,7856708.4555221,0.0,0.001704334,0.0004370038,0.9253303,Data,Data,Data,AIC,CAN,8515279.33071852
1969,12-24m,I,Dredges,NorthAmerica,124,212,6055.024,47323.07,196.1700236,5602.8971744272,43789.470560021,8675114.9886965,0.0,0.001704334,0.0004405218,0.9253303,Data,Data,Data,AIC,CAN,9456792.99856668
1970,12-24m,I,Dredges,NorthAmerica,124,230,6560.615,51341.07,212.825969,6070.7358461345,47507.447705421,9411681.6088177,0.0,0.001704334,0.0004437582,0.9253303,Data,Data,Data,AIC,CAN,10269757.5374839
